,PARCEL,Neighborhood,SITUS HOUSE NUMBER,SITUS STREET NAME,SITUS STREET ADDRESS,SITUS CITY,SITUS STATE,SITUS ZIP CODE,FULL ADDRESS,location,point,latitude,longitude,outcome
4960,5512016010,Beverly Grove,5971,3Rd St,5971 W 3Rd St,Los Angeles,CA,90036,"5971 W 3Rd St, Los Angeles, CA 90036","5971 W 3rd St, Los Angeles, CA 90036, USA","(34.0701147, -118.3505768, 0.0)",34.0701147,-118.3505768,1
4961,5511028030,Beverly Grove,8038,3Rd St,8038 W 3Rd St,Los Angeles,CA,90048,"8038 W 3Rd St, Los Angeles, CA 90048","8038 W 3rd St, Los Angeles, CA 90048, USA","(34.0718417, -118.365178, 0.0)",34.0718417,-118.365178,1
4962,5511029032,Beverly Grove,8124,3Rd St,8124 W 3Rd St,Los Angeles,CA,90048,"8124 W 3Rd St, Los Angeles, CA 90048","8124 W 3rd St, Los Angeles, CA 90048, USA","(34.0720263, -118.3667876, 0.0)",34.0720263,-118.3667876,1
4963,5511031038,Beverly Grove,8304,3Rd St,8304 W 3Rd St,Los Angeles,CA,90048,"8304 W 3Rd St, Los Angeles, CA 90048","8304 W 3rd St, Los Angeles, CA 90048, USA","(34.07256479999999, -118.370363, 0.0)",34.0725648,-118.370363,0
4964,5511014019,Beverly Grove,8401,3Rd St,8401 W 3Rd St,Los Angeles,CA,90048,"8401 W 3Rd St, Los Angeles, CA 90048","8401 W 3rd St, Los Angeles, CA 90048, USA","(34.0731793, -118.3732953, 0.0)",34.0731793,-118.3732953,1
4965,4334009026,Beverly Grove,8568,3Rd St,8568 W 3Rd St,Los Angeles,CA,90048,"8568 W 3Rd St, Los Angeles, CA 90048","8568 W 3rd St, Los Angeles, CA 90048, USA","(34.0734449, -118.3791855, 0.0)",34.0734449,-118.3791855,1
4966,4334005013,Beverly Grove,8731,3Rd St,8731 W 3Rd St,Los Angeles,CA,90048,"8731 W 3Rd St, Los Angeles, CA 90048","8731 W 3rd St, Los Angeles, CA 90048, USA","(34.07385, -118.382809, 0.0)",34.07385,-118.382809,1
4967,4335014064,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,0
4968,4335014119,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,1
4969,4335014083,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,1
4970,4335014088,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,1
4971,4335014086,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,0
4972,4335014098,Beverly Grove,9000,3Rd St,9000 W 3Rd St,Los Angeles,CA,90048,"9000 W 3Rd St, Los Angeles, CA 90048","9000 W 3rd St, Los Angeles, CA 90048, USA","(34.0733711, -118.3880338, 0.0)",34.0733711,-118.3880338,1
4973,5508005013,Beverly Grove,5722,4Th St,5722 W 4Th St,Los Angeles,CA,90036,"5722 W 4Th St, Los Angeles, CA 90036","5722 W 4th St, Los Angeles, CA 90036, USA","(34.0667374, -118.3458085, 0.0)",34.0667374,-118.3458085,1
4974,5511039026,Beverly Grove,7924,4Th St,7924 W 4Th St,Los Angeles,CA,90048,"7924 W 4Th St, Los Angeles, CA 90048","7924 W 4th St, Los Angeles, CA 90048, USA","(34.06976, -118.362362, 0.0)",34.06976,-118.362362,1
4975,5511038003,Beverly Grove,7927,4Th St,7927 W 4Th St,Los Angeles,CA,90048,"7927 W 4Th St, Los Angeles, CA 90048","7927 W 4th St, Los Angeles, CA 90048, USA","(34.070268, -118.362445, 0.0)",34.070268,-118.362445,0
